event_type,location,crowd_size,actual_delay,actual_risk,actions_taken,lessons_learned
Political Rally,Bellary Road 1,22000,48,95,Deployed 25 officers; Set up 8 barricades at Hebbal Junction; Activated detour Route A; Re-timed signal at Windsor Manor (+30s green).,Windsor Manor junction saturated quickly; early diversion signs at Ganganagar would have helped.
Festival,Mysore Road,18000,32,80,Deployed 18 officers; Created one-way restriction; Diverted heavy traffic via Outer Ring Road; Opened temporary pedestrian crossings.,Pedestrian crowd control was the main challenge; separate pedestrian lanes are required next time.
Sporting Event,CBD 2,35000,45,92,Deployed 30 officers; Banned parking around stadium; Closed Cubbon Road for 2 hours post-match; Diverted traffic via MG Road and Kasturba Road.,Metro capacity was saturated; park-and-ride options outside CBD would reduce private car volumes.
Concert,ORR East 1,15000,28,72,Deployed 12 officers; Set up barricades at Bellandur junction; Recommended carpooling via social media; Kept service lanes clear.,Service lane parking was a major bottleneck; tow trucks need to be positioned in advance.
VIP Movement,Airport New South Road,5000,15,65,Cleared Corridor completely for 15 minutes; Positioned 10 officers at key junctions; Set signals to green corridor wave.,Green corridor wave works well but creates large pile-ups on intersecting roads; require shorter clearance windows.
Political Rally,Tumkur Road,28000,55,98,Deployed 35 officers; Created major diversion via HMT Road; Re-timed signals at Peenya Junction; Stationed recovery cranes.,Breakdowns of rally buses on main carriageway caused severe blockages; strict vehicle fitness checks should be pre-enforced.
Festival,Hosur Road,12000,22,60,Deployed 10 officers; Created temporary parking zone at playground; Restricted right turns at Madiwala junction.,Madiwala flyover helped bypass local traffic; flyover exits must be kept free of street vendors.
Concert,Hennur Main Road,8000,18,55,Deployed 8 officers; Utilized empty layout plots for parking; Activated local route diversions.,Poor street lighting on detour roads caused slow movement; mobile lighting masts are recommended.
Sporting Event,CBD 1,20000,30,75,Deployed 15 officers; Re-timed signal at MG Road junction (+15s green); Suspended street parking on Residency Road.,Residency Road side-streets got congested; require better signage for parking garages.
Festival,Bannerghata Road,14000,26,68,Deployed 14 officers; Diverted traffic via Bilekahalli cross; Banned heavy vehicles during peak hours.,Heavy vehicle ban helped; however; two-wheeler traffic on sidewalks required police intervention.
